filename,wire count,cell count
01.jpg,15,54
02.jpg,4,37
03.jpg,6,27
04.jpg,8,23
05.jpg,13,33
06.jpg,8,14
07.jpg,9,24
08.jpg,11,14
09.jpg,13,31
10.jpg,12,59
11.jpg,7,47
12.jpg,16,49
13.jpg,15,57
14.jpg,11,53
15.jpg,10,46
16.jpg,5,81
17.jpg,5,77
18.jpg,16,67
19.jpg,6,33
20.jpg,8,28
21.jpg,9,47
22.jpg,16,72
23.jpg,21,74
24.jpg,4,69
25.jpg,13,61
26.jpg,5,52
27.jpg,4,59
28.jpg,4,69
29.jpg,5,56
30.jpg,17,70
31.jpg,7,76
32.jpg,7,80
33.jpg,1,53
34.jpg,1,75
35.jpg,10,37
36.jpg,0,68
37.jpg,15,44
38.jpg,0,84
39.jpg,0,104
40.jpg,0,87
41.jpg,0,82
42.jpg,3,43
43.jpg,7,68
44.jpg,1,59
45.jpg,4,29
46.jpg,3,40
47.jpg,2,23
48.jpg,13,46
49.jpg,12,52
50.jpg,21,58
51.jpg,6,12
52.jpg,6,21
53.jpg,8,32
54.jpg,11,63
55.jpg,7,58
56.jpg,3,65
57.jpg,2,61
58.jpg,10,64
59.jpg,4,63
60.jpg,8,65
61.jpg,5,86
62.jpg,3,77
63.jpg,3,57
64.jpg,1,68
65.jpg,1,94
66.jpg,2,70
67.jpg,6,57
68.jpg,1,60
69.jpg,4,48
70.jpg,1,55
71.jpg,1,54
72.jpg,15,48
73.jpg,23,68
74.jpg,21,61
75.jpg,14,46
76.jpg,3,49
77.jpg,15,48
78.jpg,11,37
79.jpg,10,31
80.jpg,4,28
81.jpg,15,70
82.jpg,18,69
83.jpg,8,80
84.jpg,5,75
85.jpg,5,76
86.jpg,0,103
87.jpg,0,139
88.jpg,1,103
89.jpg,0,108
